Name,Nacic,State,Women Owned,8A,Disabled Vets,Hub Zone,Minority Owned,NNSA,Link,Text
Astrodonics,335999 334111 334112 334118 337127 511210,Virginia,none,none,Yes,Yes,Yes,Yes,https://storage.googleapis.com/capability_statements/Astrodonics%20LLC%20Cap%20Statement%20(UPS).pdf,"Astrodonics LLC was founded in 2019  by Joseph Kingsley.
During active-duty service  my main responsibilities included
inventory control & tracking of assets valued at over
$5 000 000 per quarter. | also engaged in customer service
for the ships store resulting in accolades for having a notable
positive impact on the morale of the ship.

Outside of the Navy  I’ve been involved in the sales and

drop shipping industries for several years. During that time  |
was responsible for facilitating $10 000 a month in sales.

We can provide competition for your UPS  and computer
protection related requirements. For more in-depth information
about us  please visit Astrodonics.net.
An electrical apparatus
that provides
emergency power"
Celrens,541511 541512 541519 518210 541611 541618 541513 541330 541715 541720 611420 611430,Maryland,Yes,Yes,none,none,No,Yes,https://storage.googleapis.com/capability_statements/Celrens.pdf,"Innovation. Agility. Impact.
We are driven to make a positive impact.
Corporate Overview
We help customers improve business outcomes by implementing effective
technology solutions. On average  we save our customers 40% in cost and
improve their efficiency by 30%. We have provided these benefits to
federal  state  and local government as well as commercial companies.
Core Competencies
4 l Data & Analytics
a Data Management & Governance Data Analytics
Artificial Intelligence & Machine Learning Geospatial Data
ey Enterprise IT
Agile Software Development Cloud Cybersecurity
Management Consulting
Project Management Office
Risk Management
Organizational Development
Program Management & Support
Business Process Improvement
Training
Past Performance
e U.S. Department of Agriculture: Data analytics and Microsoft Project
Server administration for the Client Experience Center within the
Office of Chief Information Officer.
e DC Government: Data governance  data quality  data exchange/system
integration  and program management for the Comprehensive Child
Welfare Information System implementation.

e State of Maryland: Testing the Medicare and Medicaid system on AWS
in an agile software development environment.

e TerconPartners: Data analytics  survey creation  and reporting
solutions for organizational performance improvement studies.

Differentiators
Value: Our customers receive high quality products with unparalleled
customer service from us.

Experience: Our customers benefit from our experience in delivering
complex technology solutions.

Effectiveness: We combine our technical expertise with proven project
management skills to deliver results-oriented solutions.

Customers
kk

USDA ME"
4eye,541612 541611 541618 541613 923130 541690,Maryland,none,none,none,none,Yes,No,https://storage.googleapis.com/capability_statements/4eye.pdf,"ieadership nglcc a
Certified LGBT
Capabilities Statement Business Enterprise”
COMPANY OVERVIEW YEAR ESTABLISHED
4j Leadership is a leadership development and coaching service. Founded December 2018
Specializing: * Built on 30 years of leadership development and 
Covid Return to Work - we've created a value-based  better- years of doctoral work on leadership  virtual/remote
future-driven program to ease employees back into the office. work and stress
*Stress Management programs for employees and leaders  to
change the way we relate to stress. BUSINESS STRUCTURE
 Leadership Development and coaching for all levels. ¢ §P-Sole Proprietorship 100%
Diversity  Equity & Inclusion (DE&I) program which nurtures » DBA-—4i Leadership
inclusion  builds diversity and establishes genuine equity   * Subcontract with SMEs when necessary
fairness and attention to bias « DUNs #118103948
CAGE Code: 91JU1
DIFFERENTIATOR ¢ UEl: JSVCYMLG2M44
Creating the Future Workplace: Reframing the return-to-work
as an opportunity to create an improved work culture SBE CERTIFICATIONS"
Chaise,541611 541430 561110 561210 561320 561920 611430 541511 337214 512110 541990,Virginia,Yes,Yes,none,none,none,none,https://storage.googleapis.com/capability_statements/Chaise_Group_Capabilities_Statement_2020.05.07.pdf,
Doddi,541511 541512 541519 541611 541618 541690,Virginia,none,none,none,none,Yes,Yes,https://storage.googleapis.com/capability_statements/DoddiTech%20Capability%20Statement.pdf,"Doddi Information Technologies  Inc.
A Solutions Company
CAPABILITY STATEMENT
Minority Business Enterprise (MBE)
City of New York
Disadvantaged Business Enterprise
(DBE) Federal - USDOT\
Minority Business Enterprise (MBE)
NMSDC
Small Business Enterprise (SBE)
SAM.GOV DSBS#: P1998014
EIN: 27-4000346
DUNS#: 05-455-0062
NYC Vendor#: VC00135345
NYS Vendor#: 1100155897
CAGE Code: 7HQN7
handling high complex programs and projects.
In addition to skill-set and experience  we focus on good
communication skills  strong problem-solving abilities  a
collaborative mindset  a team-oriented approach and solid
creative-thinking capabilities.
Expertise DoddiTech delivers the services leveraging Government experience and deep industry knowledge. The Principal  Satya N. Doddi has
more than 30 years of Information Technology experience in both
private and public sectors including:"
Greenfield,339920 423910,Maryland,Yes,none,Yes,none,Yes,none,https://storage.googleapis.com/capability_statements/Greenfield%20Capabilities%20Statement%20-%20Soldier%20PT.pdf,"Contact: Sam Mendelsohn 
Phone: 888.315.9037 
Fax: 866.308.9719 
Info@GreenfieldsFitness.com 
2617 West Woodland Drive, Anaheim CA 92801 
www.GreenfieldsFitness.com 
 
CAPABILITIES STATEMENT – MILITARY MWR & VA HOSPITALS 
 
 
About Us 
Greenfields Outdoor Fitness is a designer and manufacturer of outdoor fitness equipment, designed and built for 
use in open space by unsupervised masses. Based in Orange County, California since 2007, Greenfields’ 
equipment has been enthusiastically embraced by both civilian and armed forces communities across North 
America and abroad for its high quality and multi-generational appeal. Greenfields continually breaks new 
ground in the outdoor fitness industry by refining and adding to its extensive product line as it fulfills its 
mission to “Promote Wellness & Fight Obesity One Community at a Time.” 
 
 
What sets us apart 
 Greenfields offers the largest selection of outdoor fitness activities for users at all fitness levels: 
? Greenfields is famous for its rugged and durable design, which is 
installed in 48 states, 6 provinces in Canada, as well many locations in 
Central America and the Caribbean islands. 
? Greenfields is also famous for its Customer Support Center with 
unparalleled response times. 
? Challenging Functional Fitness Rigs offer countless fitness options for 
those interested in CrossFit and Boot-Camp type workouts. 
Greenfields can customize the fitness rigs to accommodate unique 
project needs 
? The cutting-edge Professional Series incorporates bi-directional 
pistons with adjustable resistance for a customized workout. This 
feature, which is unique in the industry, affords an intense workout to 
even the fittest and strongest users. 
? Patented Signature Accessible line for users in wheelchairs (U.S. 
Patent 9,079,069) 
? The Legacy Series of body-weight leverage resistance equipment 
enables users to work against their own body mass. This fitness 
equipment can be used by almost anyone, regardless of ability or 
fitness level.  
? All of Greenfields exercise units – even those with moving parts – are 
virtually maintenance-free and require no lubrication. 
? Complimentary site layout design, including a 3D simulation is 
available for all projects. 
 
 
 
 
 
 
 
 
Clients 
CA - Naval Hospital Camp Pendleton 
CA - MCAS Miramar MWR– Mill Park 
MD - Bethesda - Walter Reed National Military Medical Center 
FL - Bay Pines VA Hospital 
MA - Boston VA Hospital 
 
VA - McGuire VA Hospital 
CA - Long Beach VA Hospital 
VA – USCG Base Portsmouth – MWR 
Italy – USAFE – Camp Darby 
Guam – U.S. Naval Hospital 
COMPANY 
INFORMATION 
 
DUNS: 059969721 
CAGE: 778Y9 
GSA: 
GS-03F-086GA 
SIN: 
339920S 
CMAS: 4-19-78-0102A 
 
  SMALL BUSINESS 
 
NAICS CODES: 
? 339920 - Exercise machines 
manufacturing 
? 423910 - Recreational 
equipment and supplies 
(except vehicles) merchant 
wholesalers 
 
INSURANCE: 
? General Liability: $2 Million 
? Automobile: $1 Million 
? Workers Comp: $1 Million 
 
Contracting Highlights 
GSA Contract 
CMAS Contract"
FDT,541511 541430 541611 56110 56410 561422 561439 511210 518210,Virginia,none,none,none,none,Yes,none,https://storage.googleapis.com/capability_statements/FDT%20Capability%20Sheet.pdf,"Clients 
CA - Naval Hospital Camp Pendleton 
OVERVIEW
CLIENTS
SERVICES
Document Management
• Mail room services
• Process Automation
• Scanning Services
• Business Process Improvement
Field Data Technology (FDT) uses a Data Management Platform to provide the DoD with the 
capability to identify, correct, report, and maintain visibility of over 120,000 tactical assets 
and related repairs.  FDT’s contact center handles over 1,000 calls per day for our USDA and 
Smithsonian customers and provides a host of mailroom and scanning services, processing 
and scanning over 7,000 files per month.
6402 Arlington Blvd, Ste 400 Falls Church, VA 22042    ?
(202) 800-0802     ?
info@fielddatatech.com
www.fielddatatech.com
ESTABLISHED
GWACS
DUNS  / CAGE CODE
Headquartered in Fairfax, VA in 2006
GSA Schedule 70, GSA STARS II , SeaPort NxG, Seaport-e
784809308 / 4JG5S
SECURITY AND COMPLIANCE
USDA eAuth Level 2, DCAA Compliant Accounting System
DATA DRIVEN. CLIENT FOCUSED.
Data, Document, Software, and Contact Center Services.
NAICS CODES
• 541511 Custom Computer Programming Services
• 541430 Graphic design services
• 541611 Administrative and General Management Consulting
• 561110 Office Administrative Services
• 561410 Document Preparation Services
• 561422 Telemarketing Bureaus and Other Contact Centers
• 561439 Other Business Service Centers (including Copy Shops)
Highlighted
Other
511210 | 518210 | 541330  
541360 | 541512 | 541513  
541519 | 541618 | 541711  
541990 | 561210 |
CERTIFICATIONS
Small Disadvantaged Business (SDB), Minority Owned Small Business (MOSB)
CLIENT TESTIMONIALS
“I want to thank you for the outstanding IT services that Field Data Technology has provided 
over the past four years. The quick response, professional approach, and quality work ethics 
that your team has consistently offered us, has left me extremely satisfied. I feel confident in 
knowing that we can count on you in the future. Without a doubt, Field Data Technology’s 
commitment to excellence and professionalism has been a contributing factor in our 
continued success as a program.” USMC CPAC PROGRAM MANAGER
“Field Data Technology has developed a software platform for us that is scalable, 
maintainable, and meets our current and future needs. I would not hesitate to recommend 
their services to any of my associates.” - PROGRAM MANAGER, VSE CORPORATION
Data Solutions
• Database Design and Development
• Data Mining
• Data Collection
• Report and Dashboard Design
Software Development
• Agile Methodology
• Cloud Adoption
• Mobile Application Development
• COTS Integration
Contact Center Services
• End to End Contact Center Operations
• IVR Integration
• Multi-Language Support
• Text and Chat Capabilities"
PCI,541511,Maryland,none,Yes,none,Yes,Yes,none,https://storage.googleapis.com/capability_statements/PCI.pdf,"Engineering
Facilities
Construction
Manufacturing
IT
Media/Communications
Business
Professional Services
A Federally Recognized Tribal Organization
Ecke Holding Company LLC, doing business as Poarch Creek 
Indians Federal Services, was formed under the Poarch Band 
of Creek Indians Tribe to provide high quality products and 
services to Federal customers. PCI Federal Services is a 
super 8(a) drawing on over 25 years of experience delivering 
industry-leading expertise in aviation, IT, cybersecurity, 
acquisition support, program management, construction, 
facilities, manufacturing, media, communications, and program 
management.
Ecke is a Muskogee word for “mother” and reflects the role 
of the holding company. As the parent, Poarch 
Creek Indians Federal Services provides the 
common connection and integration that 
enables our collective success. Our portfolio of 
companies share the Tribe’s values of fairness, 
trustworthiness, commitment to something bigger 
than self, perseverance, respect for contribution, 
open, and honest communication, collaboration, 
open to new ideas and accomplishment. 
Through these values, the Poarch 
Creek Indians Federal Services 
companies focus on delivering 
exceptional services that exceed 
expectations.
Aviation Maintenance & Engineering Services
Facilities/Construction Services
Manufacturing Services
Media/Communications Services
Business/Professional Services
CONTRACTING POSSIBILITIES
IT Services
We provide maintenance, repair and modifications of various 
aircraft. Our aviation personnel are skilled in shop type repairs 
and test work on aircraft, components and equipment, mod-
ifications. In addition, we have experience in ground support 
services and provide systems engineering and logistics support 
for aviation support equipment. Performing system research, 
development, prototyping, system integration, TPS development, 
obsolescence mitigation and production services to government 
acquisition managers and support providers are some of our 
core areas. Other key areas of specialization are concept devel-
opment and refinement, software and systems design, produc-
tion, test, fielding and support across the system life cycle.
We specialize in assisting companies to reduce costs, increase 
efficiencies and simplify processes and operations of their 
assets. We are strategically positioned to assist your company 
focus more on your core competencies through our customized 
outsourcing services. Having a solid facilities management plan 
can be key to ensuring your organization is running smoothly. 
We function as a reliable partner for your company to help you 
reduce costs, drive efficiency and simplify the process of main-
taining your facilities. In addition to facilities maintenance, we 
also provide construction, logistics and warehousing, procure-
ment services and project management services.
We manufacture quality goods and provide on-time services 
to help meet the needs of the defense, oil & gas, and aero-
space-related industries. We provide a full range of manufac-
turing technology and fabrication services including composite 
cutting/kitting services, inventory management, sub-zero logis-
tics services, various levels of metal fabrication ranging from 
agricultural to wind energy markets, CNC precision machining, 
and kitting/component overhaul, all performed at or above the 
international quality standards of AS9100D.
Our strength is our ability to leverage the latest technology to 
produce creative and effective communications products and 
services. By combining multiple forms of advanced media we tell 
a compelling story that helps our customers achieve their goals. 
We have award-winning staff in both our corporate office and 
onsite serving Federal customers.
Our strength is our ability to leverage the latest technology to 
produce creative and effective communications products and 
services. By combining multiple forms of advanced media we tell 
a compelling story that helps our customers achieve their goals. 
We have award-winning staff in both our corporate office and 
onsite serving Federal customers.
PCI Federal Services companies are tribally owned, small 
disadvantaged businesses with a wide array of contracting 
avenues, including directed source 8(a) contracts of one 
hundred million dollars for the Department of Defense and 
twenty-two million for non-DoD.
Building upon our expertise designing and developing extensive 
computer systems and networks we offer complete IT services. 
We currently manage networks across our enterprise and bring 
years of successful experience to meet customer requirements 
and future goals and objectives.
100 Brookwood Rd
Atmore, AL 35602
creekindianenterprises.org
Ecke Holding Company is owned by the 
Poarch Band of Creek Indians, a Federally 
Recognized Indian Tribe. 
pci-nsn.gov
Manufacturing (SDB/8a)
Westly L. Woodruff, CEO
Media/Communications (SDB) 
www.fusiononline.com 
Richard Williams, CEO
256-532-3874 x214
cc@fusiononline.com
Professional Services 
(8a/HUBZone)
www.pciproductionsllc.com    
Tim McElyea, CEO
256-679-8827
tim@pciproductionsllc.com
Business/Professional (SDB) 
www.intfedsol.com
Nick Dunn, CEO
571-357-2980
nick.dunn@intfedsol.com
Business/Professional (8a)
www.pcs-gs.com
Mark Henderson/VP-BD
571-228-3628
mark.henderson@pci-gs.com
Facilities/Construction 
(8a/HUBZone)
www.pci-ss.com
Billy Hunt, President/CEO
2251-368-0819, ext. 4464570 
bhunt@pci-ss.com
Aviation Maintenance & 
Engineering (8a)
www.pciaviation.com
Mal McGhee
251-294-1590
mmcghee@pciaviation.com
IT (8a-Pending)
www.pcitechnologyservices.com
JP Foley, CEO
251-368-0819
jp@pcitechnologyservices.com
Manufacturing (SDB)
www.muskotech.com
Westly L. Woodruff, President/CEO 
251-368-0818
wwoodruff@muskotech.com
PCI Federal Services is a growing Tribal federal contractor 
that is eager to demonstrate our innovative solutions 
and outstanding customer service. Contact us to discuss 
competitive bid, sole source, and subcontracting opportunities."
Dakota,611430 541611,Maryland,Yes,none,none,none,none,none,https://storage.googleapis.com/capability_statements/Dakota%203%20CapabilityStatement.DOE.pdf,"CAPABILITIES STATEMENT
   Dakota D. Mitchell, CEO 202.505.7525
dmitchell@dakota3consulting.com www.dakota3consulting.com
CORE COMPETENCIES
Dakota 3 Consulting Firm (D3) offer the services that the Department of Energy requires to meet its mission of ensuring America’s security and prosperity by addressing its energy, environmental, and nuclear challenges through transformative science and technology solutions. D3 services include:
• Leadership/Professional Development to Achieve Operational Excellence.
• Workforce/Employee Development Training.
• Highly effective Educational and Emotional Intelligence training programs for personnel.
• Innovative/Idea Management strategies to resolve organizational challenges.
PAST PERFORMANCE
• Morgan State University: Provided Entrepreneur & Small Business Counseling Services to enable returning citizens the ability to provide products and services for profit and contribute to the local economy; thereby reducing the rate of reincarceration. Omar Muhammad, Director, Entrepreneurial Development Center, 443.885.3663, omar@edacmorgan.com
• Top Ladies of Distinction: Provided Leadership & Development Training, Innovative/Idea Management Strategies for Organizational Challenges, Organizational Development services to stabilize budgets, re- establish leadership operations, re-engage membership and create growth; thereby activating a project that increased productivity by 25%, maintained 100% committee chair leadership, and forecasts a 90% membership retention rate. Deborah Daniels Christie, President, 240.521.5957, tlodprcpresident@gmail.com
• As an employee of The Maryland Department of the Environment, served on leadership team to create strategic solutions for Organizational Development, provided Leadership Development to Upper Management for Succession Planning and increase retention rates, Managed EEO Office to regulate fair and equal treatment of internal and external personnel and stakeholders, and Innovative/Idea Management strategies to resolve organizational challenges. As a result, an intra-agency University was created that provided employees a path to gain and improve skillsets; increased efficiencies within department operations using LEAN strategies; reduced EEO cases by 50%, and increased customer service experiences from staff interfacing with the public. Mark Shaffer, Director, Office of Communications, 443.934.1023, mark.shaffer1@maryland.gov
DIFFERENTIA TORS
• Located 15 minutes from Department of Energy Headquarters
• 20% Staff have Defense Acquisition University Training
• Certified State Educator Trainers
• Certified John Maxwell Facilitators
• D3 Team collaboratively trained over 20,000
individuals in various sectors
COMPANY DATA
DUNS: 117570588 CAGE: 8MGZ8
NAICS: 611430 541611"
GIP,541613 512110 541430 541810 541890 611430 611699 541618 541512 711510,Virginia,Yes,none,none,none,Yes,none,https://storage.googleapis.com/capability_statements/GIP%20Capability%20Statement.pdf,"P H O T O G R A P H E R
Marketing
Consulting Services
Graphic Design
Services
Create marketing campaigns
Media placement
Website design
Interactive designs
Traditional and Internet
Marketing
Social Media Campaigns 
Media placement
Branding and Engagement
Direct Mail Campaigns
Podcasting
Graphic Design
Woman Owned Small Business (WOSB)
Woman Owned Business (WOB)
Small Business (SB)
Minority Business Enterprise (MBE) - OH
541613 - Marketing Consulting Services
512110 - Motion Picture and Video Production
541430 - Graphic Design Services
541810 - Advertising Agency
541890 - Other Services Related to Advertising
611430 - Professional and Mgmnt Dev. Training
611699 - All Other Misc. Schools and Instruction
541618 - Other Management Consulting Services
541512 - Computer Systems Design Services
711510 - Independent Artists, Writers, and    
 Performers, and Professional Speakers
U001 - Education / Training – Lectures 
DA10 - IT and Telecom – Business application / Application
Development software as a service
R422 Support – Professional: Market Research / Public Opinion 
DF01 - IT and Telecom – IT Management as a service 
T006 - Photo/Map/Print/Publication – Film/Video Tape Production
DA01 - IT and Telecom – Business application / Application
Development support services (LABOR)
U008 - Education / Training – Training / Curriculum Development
U099 - Education / Training - Other 
MARKETING & ADVERTISING | VIDEO PRODUCTION |
PROFESSIONAL DEVELOPMENT
In this ever-changing world of advanced technology, it is important to find the right staff to assist you in taking your project to the next level of
success. The Global Insight Productions team consists of a dynamic group of individuals who take pride in representing our client's mission in
delivering not only quality work but will have effective results. We are highly skilled with a proven record in building complex and comprehensive
website designs, digital marketing, video production, broadcasting, radio, computer system design, and research. 
Documentaries
Docuseries
Professional Training
Animation
Public Service
Announcements
Commercials
Professional Voiceovers
Short Films
Scriptwriting
Music Videos
Public Speaking
Leadership Training
Diversity and Inclusion
Social Determinants of Health
Customer Service
Building Virtual Teams
Employee Morale and Retention
Achieving Goals
Emotional Intelligence
Wellness/Self Care
Resiliency and Change
Management
Staying Motivated  and
Productive through COVID-19
PROFESSIONAL
DEVELOPMENT
SOCIO-ECONOMIC 
CERTIFICATIONS
NAICS AND PSC CODES
CORE COMPETENCIES
MARKETING &
ADVERTISING
VIDEO
PRODUCTION 
CAGE CODE: 8G1C8
DUNS CODE: 084672380
20 years in business
Excellent Customer Service
Exceptional and consistent performance
Prompt Project Completion
Access to top level IT and
Media consultants
DIFFERENTIATORS
Gov. Business POC: Tracee Clayton Garrett
Phone: 614-607-0554
Email: Tracee@GlobalInsightProductions.com
Website: GlobalInsightProductions.com
Address: 8690 Taylor Woods Dr. Reynoldsburg, OH 43068
CONTACT INFORMATION
w w w . G l o b a l I n s i g h t P r o d u c t i o n s . c o m  
CAPABILITY STATEMENT 
PAST PERFORMANCE
Website Development
Online and In-Person Training
Educational Video Production
Designed eLearning Platform
Profesional Speaking and
Leadership Development
Executive Coaching and Consulting"
